                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9965,                0.04545,                0.36364,                 2.9414,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 2.8778,                0.09091,                0.27273,                 2.9394,             0.00013297,             0.00013297,             0.00013297
                      3,                 2.7163,                0.13636,                0.31818,                 2.9375,             0.00019886,             0.00019886,             0.00019886
                      4,                 2.5819,                0.09091,                0.27273,                 2.9356,             0.00026192,             0.00026192,             0.00026192
                      5,                 2.3671,                0.18182,                0.45455,                 2.9258,             0.00032215,             0.00032215,             0.00032215
                      6,                 2.1282,                0.18182,                0.45455,                 2.8965,             0.00037956,             0.00037956,             0.00037956
                      7,                 1.9336,                0.18182,                0.54545,                 2.8711,             0.00043413,             0.00043413,             0.00043413
                      8,                 1.7199,                0.18182,                0.68182,                 2.8535,             0.00048588,             0.00048588,             0.00048588
                      9,                 1.4597,                0.22727,                0.68182,                 2.8359,              0.0005348,              0.0005348,              0.0005348
                     10,                 1.3636,                0.22727,                0.72727,                 2.8144,              0.0005809,              0.0005809,              0.0005809
                     11,                 1.2351,                0.27273,                0.68182,                 2.7793,             0.00057263,             0.00057263,             0.00057263
                     12,                 1.0028,                0.36364,                0.77273,                 2.7383,             0.00055849,             0.00055849,             0.00055849
                     13,                0.90583,                0.36364,                0.77273,                 2.7148,             0.00054435,             0.00054435,             0.00054435
                     14,                0.77618,                0.31818,                0.81818,                 2.7207,             0.00053022,             0.00053022,             0.00053022
                     15,                0.67559,                0.31818,                0.77273,                 2.7285,             0.00051608,             0.00051608,             0.00051608
                     16,                0.61486,                0.40909,                0.68182,                 2.7422,             0.00050194,             0.00050194,             0.00050194
                     17,                0.49622,                0.31818,                0.68182,                 2.7637,              0.0004878,              0.0004878,              0.0004878
                     18,                 0.5062,                0.31818,                0.63636,                 2.7481,             0.00047367,             0.00047367,             0.00047367
                     19,                0.41147,                0.36364,                0.68182,                 2.7188,             0.00045953,             0.00045953,             0.00045953
                     20,                0.38503,                0.31818,                0.77273,                 2.7129,             0.00044539,             0.00044539,             0.00044539
                     21,                0.35703,                0.27273,                0.72727,                 2.7246,             0.00043126,             0.00043126,             0.00043126
                     22,                0.29531,                0.31818,                0.68182,                 2.7402,             0.00041712,             0.00041712,             0.00041712
                     23,                 0.2515,                0.40909,                0.72727,                 2.7246,             0.00040298,             0.00040298,             0.00040298
                     24,                0.26421,                0.22727,                0.77273,                 2.7578,             0.00038884,             0.00038884,             0.00038884
                     25,                0.18921,                0.31818,                0.77273,                 2.7812,             0.00037471,             0.00037471,             0.00037471
                     26,                0.23983,                0.31818,                0.77273,                 2.7285,             0.00036057,             0.00036057,             0.00036057
                     27,                0.21708,                0.31818,                0.77273,                 2.7207,             0.00034643,             0.00034643,             0.00034643
                     28,                0.21616,                0.36364,                0.81818,                 2.6992,              0.0003323,              0.0003323,              0.0003323
                     29,                0.21323,                0.31818,                0.81818,                 2.6875,             0.00031816,             0.00031816,             0.00031816
                     30,                0.17383,                0.40909,                0.81818,                 2.6699,             0.00030402,             0.00030402,             0.00030402
                     31,                0.16263,                0.40909,                0.81818,                 2.6699,             0.00028988,             0.00028988,             0.00028988
                     32,                0.19867,                0.45455,                0.90909,                 2.6562,             0.00027575,             0.00027575,             0.00027575
                     33,                0.15482,                0.40909,                0.90909,                 2.6543,             0.00026161,             0.00026161,             0.00026161
                     34,                0.12849,                0.40909,                0.90909,                 2.6602,             0.00024747,             0.00024747,             0.00024747
                     35,                0.09636,                0.31818,                0.90909,                 2.6699,             0.00023334,             0.00023334,             0.00023334
                     36,                0.12593,                0.31818,                0.90909,                 2.6699,              0.0002192,              0.0002192,              0.0002192
                     37,                0.13219,                0.31818,                0.90909,                 2.6934,             0.00020506,             0.00020506,             0.00020506
                     38,                0.12555,                0.36364,                0.86364,                 2.6758,             0.00019092,             0.00019092,             0.00019092
                     39,                0.07624,                0.45455,                0.86364,                 2.6562,             0.00017679,             0.00017679,             0.00017679
                     40,                0.11894,                0.45455,                0.81818,                 2.6465,             0.00016265,             0.00016265,             0.00016265
                     41,                0.06842,                0.36364,                0.81818,                 2.6602,             0.00014851,             0.00014851,             0.00014851
                     42,                0.11681,                0.40909,                0.81818,                 2.6582,             0.00013437,             0.00013437,             0.00013437
