                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0185,                      0,                0.40909,                 2.9434,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                  2.868,                0.09091,                0.40909,                 2.9414,             0.00013029,             0.00013029,             0.00013029
                      3,                  2.631,                0.13636,                    0.5,                 2.9336,             0.00019066,             0.00019066,             0.00019066
                      4,                 2.3931,                0.18182,                0.45455,                 2.9219,             0.00024538,             0.00024538,             0.00024538
                      5,                 2.0908,                0.22727,                0.54545,                 2.8848,             0.00029444,             0.00029444,             0.00029444
                      6,                 1.8211,                0.22727,                0.59091,                 2.8652,             0.00033785,             0.00033785,             0.00033785
                      7,                 1.4825,                0.31818,                0.68182,                 2.8144,              0.0003756,              0.0003756,              0.0003756
                      8,                 1.2897,                0.27273,                0.72727,                  2.793,              0.0004077,              0.0004077,              0.0004077
                      9,                0.99964,                0.36364,                0.77273,                 2.7617,             0.00043415,             0.00043415,             0.00043415
                     10,                0.81121,                    0.5,                0.72727,                 2.7266,             0.00045494,             0.00045494,             0.00045494
                     11,                0.69658,                0.54545,                0.72727,                 2.6543,             0.00043126,             0.00043126,             0.00043126
                     12,                0.59822,                0.36364,                0.77273,                 2.7109,             0.00040298,             0.00040298,             0.00040298
                     13,                0.52946,                0.31818,                0.72727,                 2.7461,             0.00037471,             0.00037471,             0.00037471
                     14,                0.40052,                0.36364,                0.59091,                 2.7129,             0.00034643,             0.00034643,             0.00034643
